Date,Close,Open,High,Low,Vol.,Change %
11/24/10,1.3332,1.3367,1.3424,1.3284,,-0.31%
11/23/10,1.3373,1.3619,1.3634,1.3361,,-1.86%
11/22/10,1.3626,1.3714,1.3786,1.3575,,-0.45%
11/19/10,1.3687,1.3647,1.3733,1.3609,,0.31%
11/18/10,1.3645,1.3527,1.3668,1.3525,,0.93%
11/17/10,1.3519,1.3487,1.3566,1.3458,,0.19%
11/16/10,1.3493,1.3587,1.3655,1.3447,,-0.68%
11/15/10,1.3586,1.3712,1.3752,1.3565,,-0.78%
11/12/10,1.3693,1.3666,1.3779,1.3573,,0.26%
11/11/10,1.3658,1.3784,1.3823,1.3637,,-0.91%
11/10/10,1.3784,1.3777,1.3828,1.3672,,0.04%
11/9/10,1.3779,1.392,1.3975,1.375,,-1.02%
11/8/10,1.3921,1.4051,1.4085,1.3886,,-0.81%
11/5/10,1.4034,1.4216,1.425,1.4025,,-1.17%
11/4/10,1.42,1.4139,1.4284,1.4103,,0.39%
11/3/10,1.4145,1.4038,1.4177,1.3991,,0.75%
11/2/10,1.404,1.3897,1.4061,1.3881,,1.07%
11/1/10,1.3891,1.3963,1.4013,1.3862,,-0.42%
10/29/10,1.395,1.3927,1.3954,1.3806,,0.13%
10/28/10,1.3932,1.3761,1.3946,1.3757,,1.18%
10/27/10,1.3769,1.3859,1.3878,1.3733,,-0.66%
10/26/10,1.3861,1.3966,1.3984,1.3825,,-0.75%
10/25/10,1.3966,1.3958,1.4083,1.3935,,0.10%
10/22/10,1.3952,1.3924,1.3976,1.3858,,0.23%
10/21/10,1.392,1.396,1.4051,1.387,,-0.34%
10/20/10,1.3967,1.3731,1.3994,1.3699,,1.69%
10/19/10,1.3735,1.3951,1.4006,1.3714,,-1.53%
10/18/10,1.3948,1.3977,1.4,1.3832,,-0.22%
10/15/10,1.3979,1.4078,1.416,1.3938,,-0.72%
10/14/10,1.4081,1.3958,1.4124,1.3955,,0.85%
10/13/10,1.3963,1.3915,1.4002,1.391,,0.27%
10/12/10,1.3925,1.3874,1.3933,1.3773,,0.37%
10/11/10,1.3874,1.3994,1.4013,1.3866,,-0.49%
10/8/10,1.3943,1.3921,1.3986,1.3836,,0.11%
10/7/10,1.3927,1.3929,1.4028,1.3855,,-0.07%
10/6/10,1.3937,1.3836,1.3948,1.3798,,0.74%
10/5/10,1.3834,1.3679,1.3861,1.3636,,1.11%
10/4/10,1.3682,1.3792,1.3793,1.3666,,-0.80%
10/1/10,1.3792,1.3632,1.3796,1.362,,1.17%
9/30/10,1.3633,1.3626,1.3686,1.3561,,0.03%
9/29/10,1.3629,1.3579,1.3648,1.3565,,0.35%
9/28/10,1.3582,1.3445,1.3598,1.3382,,0.93%
9/27/10,1.3457,1.3482,1.3509,1.3426,,-0.25%
9/24/10,1.3491,1.3315,1.3498,1.3287,,1.34%
9/23/10,1.3312,1.3394,1.3415,1.3304,,-0.66%
9/22/10,1.34,1.3253,1.3441,1.3246,,1.12%
9/21/10,1.3252,1.3062,1.3282,1.3056,,1.42%
9/20/10,1.3066,1.3053,1.3121,1.3026,,0.14%
9/17/10,1.3048,1.3081,1.3162,1.3019,,-0.21%
9/16/10,1.3076,1.3012,1.3119,1.2976,,0.55%
9/15/10,1.3005,1.2993,1.3037,1.2954,,0.07%
9/14/10,1.2996,1.2878,1.3034,1.2827,,0.90%
9/13/10,1.288,1.2708,1.2894,1.2703,,1.58%
9/10/10,1.268,1.2699,1.275,1.2645,,-0.11%
9/9/10,1.2694,1.2721,1.2767,1.2662,,-0.23%
9/8/10,1.2723,1.2686,1.2766,1.2661,,0.32%
9/7/10,1.2683,1.2873,1.2877,1.2676,,-1.48%
9/6/10,1.2873,1.2889,1.292,1.2865,,-0.18%
9/3/10,1.2896,1.2829,1.29,1.281,,0.55%
9/2/10,1.2826,1.2799,1.2849,1.2776,,0.11%
9/1/10,1.2812,1.2686,1.2856,1.2662,,0.99%
8/31/10,1.2687,1.2664,1.2744,1.2624,,0.18%
8/30/10,1.2664,1.2766,1.277,1.2658,,-0.79%
8/27/10,1.2765,1.2716,1.2781,1.2679,,0.35%
8/26/10,1.272,1.266,1.2765,1.2649,,0.49%
8/25/10,1.2658,1.2631,1.2726,1.2604,,0.26%
8/24/10,1.2625,1.265,1.2719,1.2585,,-0.26%
8/23/10,1.2658,1.2704,1.2731,1.2645,,-0.39%
8/20/10,1.2708,1.2821,1.2835,1.2664,,-0.88%
8/19/10,1.2821,1.2855,1.2903,1.2771,,-0.28%
8/18/10,1.2857,1.2881,1.2925,1.2823,,-0.19%
8/17/10,1.2881,1.2824,1.2917,1.2804,,0.43%
8/16/10,1.2826,1.2761,1.2874,1.2736,,0.58%
8/13/10,1.2752,1.283,1.2909,1.275,,-0.56%
8/12/10,1.2824,1.2846,1.2933,1.278,,-0.07%
8/11/10,1.2833,1.3176,1.3191,1.2829,,-2.62%
8/10/10,1.3178,1.3222,1.3235,1.3072,,-0.43%
8/9/10,1.3235,1.3292,1.331,1.3216,,-0.38%
8/6/10,1.3285,1.3185,1.3336,1.3158,,0.70%
8/5/10,1.3192,1.3153,1.3235,1.3118,,0.24%
8/4/10,1.316,1.3229,1.3241,1.3132,,-0.51%
8/3/10,1.3228,1.3181,1.3263,1.3145,,0.35%
8/2/10,1.3182,1.3062,1.3197,1.3053,,1.03%
7/30/10,1.3048,1.3081,1.3096,1.2981,,-0.24%
7/29/10,1.3079,1.299,1.3108,1.298,,0.66%
7/28/10,1.2993,1.3002,1.3042,1.2965,,-0.02%
7/27/10,1.2995,1.299,1.3047,1.2951,,0.00%
7/26/10,1.2995,1.29,1.3005,1.2875,,0.68%
7/23/10,1.2907,1.2887,1.297,1.2794,,0.12%
7/22/10,1.2891,1.2753,1.2932,1.2738,,1.05%
7/21/10,1.2757,1.2881,1.2914,1.2731,,-1.00%
7/20/10,1.2886,1.2948,1.303,1.284,,-0.42%
7/19/10,1.294,1.2893,1.2992,1.2868,,0.05%
7/16/10,1.2933,1.293,1.301,1.2891,,-0.05%
7/15/10,1.2939,1.2741,1.2956,1.2708,,1.55%
7/14/10,1.2741,1.2723,1.2779,1.2681,,0.10%
7/13/10,1.2728,1.259,1.2739,1.2522,,1.10%
7/12/10,1.259,1.2639,1.2647,1.2548,,-0.37%
7/9/10,1.2637,1.2698,1.2725,1.2608,,-0.45%
7/8/10,1.2694,1.2633,1.2712,1.262,,0.47%
7/7/10,1.2635,1.2628,1.2666,1.2553,,0.09%
7/6/10,1.2624,1.2538,1.2664,1.2479,,0.67%
7/5/10,1.254,1.2557,1.2565,1.2508,,-0.18%
7/2/10,1.2563,1.2517,1.2616,1.2483,,0.35%
7/1/10,1.2519,1.2235,1.254,1.2193,,2.31%
6/30/10,1.2236,1.2185,1.2306,1.2166,,0.44%
6/29/10,1.2182,1.2277,1.2293,1.2152,,-0.79%
6/28/10,1.2279,1.2372,1.2399,1.2264,,-0.79%
6/25/10,1.2377,1.233,1.2398,1.2253,,0.35%
6/24/10,1.2334,1.2317,1.2388,1.226,,0.15%
6/23/10,1.2315,1.2264,1.2346,1.2209,,0.38%
6/22/10,1.2268,1.2322,1.2355,1.225,,-0.32%
6/21/10,1.2308,1.2439,1.2469,1.2303,,-0.64%
6/18/10,1.2387,1.2384,1.2419,1.2354,,0.06%
6/17/10,1.238,1.2299,1.2414,1.2243,,0.58%
6/16/10,1.2308,1.2322,1.2357,1.2256,,-0.13%
6/15/10,1.2324,1.2213,1.235,1.2164,,0.87%
6/14/10,1.2218,1.2125,1.23,1.2115,,0.87%
6/11/10,1.2113,1.2109,1.2155,1.2046,,0.03%
6/10/10,1.2109,1.1981,1.2143,1.1955,,1.03%
6/9/10,1.1986,1.197,1.2076,1.1923,,0.09%
6/8/10,1.1975,1.1919,1.2011,1.1901,,0.50%
6/7/10,1.1915,1.1946,1.1992,1.1876,,-0.51%
6/4/10,1.1976,1.2165,1.2218,1.1956,,-1.49%
6/3/10,1.2157,1.2247,1.2327,1.2151,,-0.77%
6/2/10,1.2251,1.2207,1.2277,1.2174,,0.20%
6/1/10,1.2227,1.2305,1.2355,1.2111,,-0.64%
5/31/10,1.2306,1.2273,1.2334,1.2264,,0.29%
5/28/10,1.227,1.2363,1.2455,1.2266,,-0.80%
5/27/10,1.2369,1.2157,1.2395,1.2153,,1.65%
5/26/10,1.2168,1.2373,1.2376,1.2164,,-1.59%
5/25/10,1.2365,1.2344,1.2372,1.2172,,0.10%
5/24/10,1.2353,1.2546,1.2561,1.2344,,-1.75%
5/21/10,1.2573,1.2468,1.2675,1.2461,,0.84%
5/20/10,1.2468,1.2429,1.2601,1.2298,,0.31%
5/19/10,1.2429,1.2183,1.2434,1.2144,,2.02%
5/18/10,1.2183,1.2395,1.2447,1.2163,,-1.71%
5/17/10,1.2395,1.2351,1.2416,1.2235,,0.26%
5/14/10,1.2363,1.2524,1.2578,1.2355,,-1.33%
5/13/10,1.253,1.2631,1.2686,1.2518,,-0.73%
5/12/10,1.2622,1.2639,1.274,1.2603,,-0.26%
5/11/10,1.2655,1.2791,1.2804,1.2652,,-0.99%
5/10/10,1.2782,1.2933,1.3094,1.2758,,0.16%
5/7/10,1.2762,1.2633,1.28,1.2588,,0.84%
5/6/10,1.2656,1.2824,1.2856,1.2521,,-1.23%
5/5/10,1.2814,1.2968,1.2998,1.2789,,-1.29%
